text,scene
You spoiled c -,38
Pussy.,38
Nice car.,40
"Thanks. So, where's Tracy?",40
"No idea, I couldn't find her.",40
As long as I'm here... you hungry?,40
Starved.,40
I can't believe she ran out on you.,40
I know. Thanks for coming.,40
Tracy had her shot tonight. Tomorrow you're all mine. I'll show you the big city.. .the right way. And I promise I won't abandon you. Deal?,40
Deal.,40
These are the modern pieces. A little wilder than the old stuff.,41
"Okay, I have no idea what this is supposed to be.",41
"Even I don't get that one. Come on, I want to show you something.",41
This is my favorite.,42
I love how he captures her personality through her eyes. It's like she really wants to help you.,42
Amazing. I love it.,42
That is so cool.,43
No graffiti in Des Moines?,43
"Sure. ""Bobby loves Jenny. Chrissy loves Rick."" Nothing like this.",43
"Hey, smile.",43
Both of us.,43
"Now that's one ""art form"" I don't get. Needles into skin? No thanks.",43
I have a tattoo.,43
Really?,43
My older sister. She died when I was nine.,43
"Oh, I'm sorry.",43
This keeps her with me.,43
I always wanted a sister.,43
Guess who I'm listing as my favorite artist on my Facebook page? Richard Prince.,44
"Your favorite movie is ""Coyote Ugly""?",44
Don't laugh. It's about a small town girl making it in the big city.,44
Isn't every movie?!,44
Hey there.,47
Look at you.,47
"No collar, baby?",47
Wow.,48
I thought you'd like it.,48
Sara...,48
"I know, I know. It's stupid, and I've just broken about forty different dorm rules, and I should just take it to a shelter...",48
What do you want to name it?,48
Really?,48
It'll be our secret. Just between us.,48
I named her in the elevator. Cuddles.,48
Is that my necklace?,48
Sorry. I was just trying it on.,48
This was my sister's.,48
Oh.,48
You can borrow anything of mine. Except for this. Okay? It's the only thing I kept of hers.,48
I'm really sorry.,48
It's okay. You didn't know.,48
Were you two close?,48
"Yeah. You're the first roommate I've had since she died. So, it feels a little odd.",48
In a good way or a bad way?,48
A good way.,48
"You wanted a mocha smoothie, right? O.K. Do you know what's in that?",50
This seems like a pattern.,50
Just because I kissed you doesn't mean I'll let you cut in line.,50
So what does it mean?,50
"Hey, the gentlemen of Psi Upsilon are reviving a sacred tradition tonight.",50
We're having another keg party.,50
I.. dunno. I'm still having flashbacks from the last one.,50
You know what? How about if I use you as my excuse not to go.,50
Hey.,51
Hey.,51
Psi U. tonight?,51
So you can ditch me again?,51
Sara... the guy had a Porsche. And a hot tub.,51
That's your apology?,51
What I meant to say is   I'm sorry   I totally screwed up.,51
I forgive you.,51
But you're on your own at Psi U. Because... Someone has a date.,51
You look... nice.,52
Thanks. Richard Prince is having a showing. I bought two tickets. Since he's your favorite artist...,52
"Actually, I... sort of have a date?",52
Oh. Okay.,52
"You know, I could reschedule.",52
You don't have to.,52
I want to. On one condition...,52
"I love it, who's the designer?",52
"What are you, a label whore?! Who cares ...I got it at a flea market and it looks great with the dress.",52
It just needs one last touch...,52
"I'm gonna jump in the shower, then we'll head out.",52
Water. I need water.,57
Rebecca? What are you doing?,58
Hey. How was the party? Are you still the beer bong queen?,59
Listen... something is up with your roommate.,59
What do you mean?,59
She was outside my room this morning.,59
Doing what?,59
"Waiting for me. I opened my door... and there she was. Just sitting there, staring. Like some psycho.",59
Are you sure?,59
You don't believe me?,59
"No, it's just... why would she do that?",59
Why don't you ask her? I've gotta go...I'll see ya later.,59
"Contrary to popular opinion, beauty is not in the eye of the beholder. It's in the hands of the designer.",60
Who can tell me the difference between fashion and style?,60
Miss Matthews?,60
"Fashion's something you can buy, but style you either have or you don't.",60
Exactly. All the money in the world can't buy you style.,60
But it can buy you a good stylist.,60
Hey. How'd you know when my class got out?,61
I'm your roommate.,61
Thanks.,61
Listen... Tracy told me something kinda weird. She says you... scared her this morning.,62
What?,62
Yeah.,62
It's more like she scared me. She was racing to the bathroom like she was gonna hurl. She almost knocked me over.,62
"The girl does like to party. Anyway, I wouldn't worry about it.",62
I gotta go meet Irene. Thanks for the coffee.,62
Finally.,64
I so want to be you when I grow up.,65
"Hell, I wanna be me when I grow up.",65
She's going to be a star.,65
"You know, your dad left me four messages last week. Making sure I'm looking out for his baby.",65
Oh god. I hope you told him I'm closing down the library every night.,65
I told him I haven't seen you. And that for all I know you're a crack ho by now.,65
Perfect.,65
I haven't seen you around too much since you blew me off for dinner.,66
"Sorry again. Actually, how about dinner tonight?",66
Hellllo. I'm studying.,66
Page two? Busted!,66
"Yeah, but it's really dense.",66
Okay. Let's go.,66
How's it goin?,67
Hey.,67
You have to be kidding me. Hey!,68
Goddammit !,68
"Hey, how about turning on the light?",68
Who's out there?,68
I know it's you.,68
Sara thinks you're weird. She told me.,68
"Not funny, Rebecca. Bitch.",68
Freak.,68
"So Sara thinks I'm weird? Let me tell you what I think. I think you're a little whore, and a bad influence on her. And I think that if you tell anyone about... what I'm about to do... you'll regret it.",68
Nice belly ring.,68
"I'm going to flunk my test tomorrow, thanks to you.",69
Then let's make sure it was worth it.,69
"Duh, joke's on you. I was going to flunk anyway.",69
Thanks for helping me... not study.,71
Anytime.,71
Where were you?,71
"Oh, hi.",71
I kept calling and calling.,71
Oh. I turned my cell off at the library and forgot to turn it back on. Rebecca... this is Stephen.,71
I'm going to bed now. I'm glad you're okay.,71
You got a curfew?,71
"Well, she's right...I shoulda called.",71
I guess I'll see you later.,72
Sara... Last night. I was just worried about you.,72
You don't need to worry about me. I can take care of myself. Okay?,72
"Sara. We're good, right?",72
I'm already her best friend?,75
That's a little sad.,75
Stop.,75
Maybe she REALLY likes you...if you know what I mean.,75
I don't.,75
You... are...a...moron.,75
Stephen.,77
"Shit, wrong aisle.",77
Should we head back home?,78
"The question is ""whose home?""",78
Hmmm...,78
