text,scene
It was asthma medicine right Father?,29
For Morgan Hess.  And it's not Father anymore.,29
Can I ask you a favor Father?,29
Can I take confession with you?,29
"Tracey, I   am   not   a   reverend   anymore.  I haven't been for six months.  You know this.",29
All this stuff on TV... Joe Gills was in here talking about the end of the world... I'm just a little scared. Please.  I need to take confession with you.,29
I got it figured.,30
You do?,30
"I've had two separate folks tell me they think there are strangers around these parts the last couple of nights.  Can't tell what they look like, cause they're staying in the shadows   covert like.  No one's got hurt mind you... And that's the give away.",30
I see.,30
"It's called probing.  It's a military procedure.  You send a reconnaissance group, very small, to check out things.  Not to engage, but to evaluate the situation.  Evaluate the level of danger.  Make sure things are all clear...",30
Clear for what?,30
... For the rest of them.,30
You have a pamphlet or something I can read?,30
Hey you didn't used to play baseball did you?,30
Shit.  I know you.  You're Merrill Hess.  I was there that day you hit that five hundred and eighty seven footer over the left field wall and set the record.  That thing had a motor on it... It's still the record right?,30
I got the bat at home... On the wall.,30
You got two minor league home run records don't you?,30
Five.  The five longest.,30
"Boy, why aren't you in the pros making stacks of cash and getting handfuls of T and A?",30
Cause he also has the minor league strike out record.,30
Hello Lionel.,30
"He'd just swing as hard as he could every time.  It didn't matter what the coach said, didn't matter who was on base, he'd whip that bat through the air as hard as he could... Looked like a lumber jack chopping down a tree. Merrill here, struck out more times than any two players.",30
You really hold the strike out record?,30
Felt wrong not to swing.,30
"I cursed thirty-seven times last week... I said the f-word a couple times, but mostly ""shits"" and ""bastards."" Is ""Douche bag"" a curse?",31
I suppose it's in its usage.,31
"How about ""John you're a douche bag for kissing Barbara?""",31
That's a curse.,31
Then it's not thirty-seven.  It's seventy-one.,31
I stole a bottle of Ruby red lip stick from K-mart... I punched my brother in the back three times...,31
It's contaminated.,32
"Carl, there's something wrong with our water!",32
Your water is fine.  Bo has a thing about her drinking water.  She's had it her whole life.  Like a tick people have.  Except it's not a tick.,32
Is that right?,32
Thirteen!,32
I'll take it.,32
Pharmacy crowded?,33
I don't want any one of you spending time with Tracey Abernathy alone.  Is that understood?,33
Is that him?,33
Yeah.,33
Who is he?,33
He's the man who killed mom.,33
What if Bo's baby monitor is picking up signals from the extraterrestrials?,35
All this crop stuff.  They did it twenty-five years ago.  It was a joke.,35
It's just static Morgan.  Turn it up and see.,35
It's a code.,35
Let me see that please.,35
It's noise.,35
It's broken Morgan.  It'll just keep doing this. Let's get out of the car okay?,35
We might lose the signal.,35
We can't just sit in the car in our own driveway like this.,35
We'll look like mental patients.,35
I'm getting out now.,35
Don't do it.,35
Nobody move!,35
Voices.  Did you hear that?,35
Not English though.  You heard the voices right Uncle Merrill?,35
I heard them Morgan.,35
It's probably picking up another baby monitor.,35
That's right.,35
Let me see it.,35
Stop!,35
It doesn't sound like words.,35
See this is why we're not watching those news reports.  People get obsessed. I'm letting go now.,35
No dad!,35
Don't do it!,35
You'll lose the signal!,35
Don't let go.,35
