text,scene
.some sort of smoke has appeared over the ocean now...,18
"Hey, shut up. Shut up!",18
I'm being told a Coast Guard cutter just issued a Mayday...,18
What the hell are those things?!,18
It appears... the cutter has...,18
What is that...? In the water...,19
"As you probably heard, Sgt. Nantz will be taking over for Sgt. Beck. We're lucky to have him aboard.",21
"Let's move, men!,",21
"You got something to get off your chest, Corporal?",21
"No. It's cool, Sergeant. You got a Silver Star and my brother came home in a box. I get it. Beat.",21
"Get aboard, Corporal.",21
What the hell you think those things are?,22
Gotta be extraterrestrial.,22
"You mean, like, from space?!",22
"No, Imlay. From Canada.",22
"Santa Monica airport's our Forward Operating Base. We get some Cobras and F-18s in the air, we'll have plenty of support.",22
"How many a' them you think there are, Sergeant?",22
"We'll know soon enough, private.",22
"Lt. Martinez, sir. 1st Platoon of the 2/5.",24
Situation is as follows: Most of Santa Monica is cleared of civilians. We've got a defensive line at Lincoln Boulevard a mile from the ocean...,24
"At 9 p.m., everything from Lincoln to the ocean will be bombed.",24
"We're... leveling it, Captain?",24
"We've got an infestation of god- knows-what. It's an enemy ground force only, they have no aircraft. So our jets'll tear 'em a new asshole. We will rule the air.",24
"But... there must be civilians stuck behind the line, sir.",24
"That's affirm. We're getting distress calls, sending squads out.",24
"Your mission, Lieutenant, take your 1st squad, proceed west from Lincoln to a community center located here... In a park on 10th and Bay Street. Police were using it as an evacuation point. They got overrun. Get there, any civilians you find, get 'em back here to the FOB for evacuation. You got three hours.",24
"What do we know about these things, Captain?",24
Not much. But police have shot 'em. They bleed.,24
It's our job to kill 'em.,24
"Let's go, marines! Clock's running. Focus on the mission. We're gonna get to that community center and get those people safe.",25
"Something to add, Sergeant?",25
Kill anything that's not human.,25
What the hell is that?!,26
Keep it together. Watch your angles.,26
"Helluva way to get citizenship, eh, Daktari?",26
"Shit, I'd rather be in Afghanistan.",26
"Cherise and I were supposed to register at Bed, Bath & Beyond tonight...",26
"Think you're gonna be busy, bro.",26
"What is that shit, Sergeant?",26
"Something bad, private. Now get back with your team.",26
"Whoa, whoa... Contact! Twelve o'clock!",26
"Relax, man.",26
What the hell...?,26
Something spooked that dog...,26
Contact! Contact!,26
Marines! Hold your position!,26
