text,scene
"Eponine, find her for me!",74
What will you give me?,74
Anything!,74
"Got you all excited now, But God knows what you see in her. Aren't you all delighted now? No, I don't want your money, sir.",74
"Eponine, do this for me, Discover where she lives. But careful how you go - Don't let your father know. Eponine! I'm lost until she's found.",74
"You see? I told you so! There's lots of things I know! Eponine, she knows her way around.",74
"There, out in the darkness A fugitive running Running from God Fallen from grace - God be my witness I never shall yield Till we come face to face - Till we come face to face...",75
He knows his way in the dark Mine is the way of the Lord Those who follow the path of the righteous Shall have their reward And if they fall As Lucifer fell - The flame!,75
The sword! Stars in your multitudes! Scarce to be counted Filling the darkness With order and light - You are the sentinels Silent and sure Keeping watch in the night - Keeping watch in the night...,75
You know your place in the sky You hold your course,75
And your aim And each in your season Returns and returns And is always the same And if you fall As Lucifer fell You fall In flame!,75
"And so it must be, and so it is written On the doorway to paradise That those who falter And those who fall Must pay the price!",75
"Lord, let me find him That I may see him Safe behind bars! I will never rest till then! This I swear This I swear by the stars!",75
"Well, Courfeyrac! Do we have all the guns? Joly, Prouvaire! Our time is running short!",77
"Students, workers, everyone! There's a river on the run! Like the flowing of the tide, Paris is coming to our side!",77
Enjolras! At Notre Dame The sections are prepared!,77
At Rue du Bac They're straining at the leash!,77
"Grantaire, put the bottle down! Did we get the guns we need?",77
Give me brandy on my breath And I'll breathe them all to death!,77
