text,scene
"I introduce myself, Inspector of Police. I've come to take the watch I'm here to keep the peace. Please know me as Javert.",26
I'm here at your command With honour due to each. With justice in our hands No man's beyond our reach. Let all beware.,26
"Welcome, sir Come guard our laws I'm sure we're here In common cause.",26
"You've done the city proud, You've raised their banner high.",26
You manufacture gems That anyone can buy Your people thrive.,26
The dignity of toil To stay alive.,26
It seems to me We may have met.,26
Your face is not a face I would forget.,26
Get back! It may fall!,27
"No, Monsieur le Mayor!",27
It'll kill you as well!,27
Can this be true? I don't believe what I see! A man your age To be as strong as you are! A memory stirs... You make me think of a man From years ago A man who broke his parole.. He disappeared.,27
"Forgive me, sir. I would not dare -",27
Say what you must. Don't leave it there.,27
Let me help you up.,27
"Monsieur le Mayor, you come from God! You are a saint!",27
No more cart driving for you!,27
Monsieur le Mayor.,27
"Excuse me, is this where the Pawnbrokers is?",29
It's just there.,29
Thank you.,29
I smell women! Smell'em in the air! Think I'll drop my anchor In that harbour over there!,29
Lovely ladies! Love `em till your broke! Seven months at sea can make you Hungry for a poke!,29
Even stokers need a little stoke!,29
"Lovely ladies Waiting for a bite! Waiting for the customers Who only come at night. Lovely ladies Ready for the call, Standing up or lying down Or any way at all - Bargain prices up against the wall!",29
Lovely dentures Guaranteed to bite They clean up real easy You can take them out at night Sell your teeth here make a pretty sum Best Tooth Man in the harbour Guaranteed no painful gums Bargain prices up against the wall!,29
"Hello sweetheart, I'll give you four francs.",29
It's worth at least ten.,29
"Alright, five.",29
"What pretty hair! What pretty locks you've got there! What luck you got. It's worth a centime, my dear! I'll take the lot!",29
Don't touch me! Leave me alone!,29
Let's make a price. I'll give you all of ten francs. Just think of that!,29
It pays a debt...,29
Just think of that.,29
What can I do? It pays a debt. Ten francs may save my poor Cosette.,29
Lovely ladies Waiting in the dark. Ready for a thick one Or a quick one in the park.,30
"Long time, short time Anytime my dear! Cost a little extra If you want to take all year",30
Lovely dentures guaranteed to bite They clean up real easy You can take them out at night Lovely teeth dear shining like the stars I'll whip em out quite quickly And I won't leave any scars.,30
Quick and cheap is underneath the pier,30
"Please, you wouldn't have any work for me would you? Please, I sold you my hair. I could do anything.",30
Go and see them.,30
"Come over here, I pay ten francs for a tooth.",30
Come here my dear. I'll pay well for your youth.,30
"You have, my dear, The clear advantage of youth.",30
Just the back ones.,30
"The pain won't last, You'll still be able to bite.",30
"I do it fast, I know my business all right. It's worth a go.",30
You'll pay me first What I am due.,30
You'll get twice If I take two!,30
"God, we're weary, Sick enough to drop!",31
"Belly burns like fire, Will the bleeding ever stop!",31
"Cheer up, deary! Show a happy face! Plenty more like you here If you can't keep up the pace.",31
Only joking! Deary knows her place!,31
Gimme the dirt - Who's that bit over there?,31
"A bit of skirt, She's the one sold her hair.",31
"She's got a kid, Sends her all that she can.",31
I might've known There is always some man.,31
"Lovely lady, come along and join us! Lovely lady!",31
"Come on, dearie, why all the fuss?",31
... why all the fuss.,31
You're no grander than the rest of us.,31
... than the rest of us.,31
Life has dropped you at the bottom of the heap.,31
...at the bottom of the heap.,31
Join your sisters -,31
Make money in your sleep!,31
... make money in your sleep.,31
"That's right, dearie, Show him what you've got!",31
